Ad Account ID,Ad Account Name,Reporting starts,Reporting ends,Ad name,Ad delivery,Ad Set Name,Bid,Bid type,Ad set budget,Ad set budget type,Last significant edit,Results,Result indicator,Reach,Impressions,Cost per results,Quality ranking,Engagement rate ranking,Conversion rate ranking,Amount spent (MXN),Ends,Result rate,Frequency,Link clicks,Unique link clicks,Clicks (all),Landing page views,Purchases,Mobile app purchases,Website purchases,Meta Purchases,Purchases conversion value,Mobile app purchases conversion value,Website purchases conversion value,Meta Purchase Conversion Value,Campaign ID,Page engagement,Post engagement,Post reactions,Post comments,CPC (cost per link click) (MXN)
920962708581993,albana_ad,7/30/2022,7/30/2022,Catalogo_Ad_Julio - Price,inactive,Catalogo_AdSet_Julio - Price,0,CPA,55,Daily,2022-07-25T22:01:32-0500,,,1763,1782,,Average,Average,Above average,19.5,En curso,,1.010777,48,47,58,5,,,,,,,,,23851903914600173,49,49,1,,0.40625
920962708581993,albana_ad,7/30/2022,7/30/2022,Catalogo_Ad_Julio_Copy,inactive,Catalogo_AdSet_Julio - Copy,0,CPA,55,Daily,2022-07-20T13:07:18-0500,,,0,0,,-,-,-,0,En curso,,0,,,0,,,,,,,,,,23851903914600173,,,,,
920962708581993,albana_ad,7/30/2022,7/30/2022,Catalogo_Ad_Julio,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,2512,2539,,Average,Above average,Above average,21.06,En curso,,1.010748,52,51,64,12,,,,,,,,,23851903914600173,55,55,3,,0.405
920962708581993,albana_ad,7/29/2022,7/29/2022,Catalogo_Ad_Julio - Price,inactive,Catalogo_AdSet_Julio - Price,0,CPA,55,Daily,2022-07-25T22:01:32-0500,,,3695,3944,,Average,Average,Above average,57.09,En curso,,1.067388,164,154,176,22,,,,,,,,,23851903914600173,166,166,2,,0.34811
920962708581993,albana_ad,7/29/2022,7/29/2022,Catalogo_Ad_Julio_Copy,inactive,Catalogo_AdSet_Julio - Copy,0,CPA,55,Daily,2022-07-20T13:07:18-0500,,,0,0,,-,-,-,0,En curso,,0,,,0,,,,,,,,,,23851903914600173,,,,,
920962708581993,albana_ad,7/29/2022,7/29/2022,Catalogo_Ad_Julio,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,7242,7530,,Average,Above average,Above average,57.87,En curso,,1.039768,182,171,208,46,,,,,,,,,23851903914600173,187,187,4,1,0.317967
920962708581993,albana_ad,7/28/2022,7/28/2022,Catalogo_Ad_Julio - Price,inactive,Catalogo_AdSet_Julio - Price,0,CPA,55,Daily,2022-07-25T22:01:32-0500,,,5088,5446,,Average,Average,Above average,57,En curso,,1.070362,146,138,177,26,,,,,,,,,23851903914600173,150,150,4,,0.390411
920962708581993,albana_ad,7/28/2022,7/28/2022,Catalogo_Ad_Julio_Copy,inactive,Catalogo_AdSet_Julio - Copy,0,CPA,55,Daily,2022-07-20T13:07:18-0500,,,0,0,,-,-,-,0,En curso,,0,,,0,,,,,,,,,,23851903914600173,,,,,
920962708581993,albana_ad,7/28/2022,7/28/2022,Catalogo_Ad_Julio,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,6642,7079,,Average,Average,Above average,59,En curso,,1.065793,175,168,215,51,,,,,,,,,23851903914600173,179,179,4,,0.337143
920962708581993,albana_ad,7/27/2022,7/27/2022,Catalogo_Ad_Julio - Price,inactive,Catalogo_AdSet_Julio - Price,0,CPA,55,Daily,2022-07-25T22:01:32-0500,,,5190,5301,,Average,Average,Above average,46.54,En curso,,1.021387,107,103,116,25,,,,,,,,,23851903914600173,110,110,3,,0.434953
